Rk;Player;Code;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;achiupr01;PF;21;MIA;61;4;12.1;2;3.7;0.544;0;0;0;2;3.7;0.546;0.544;0.9;1.8;0.509;1.2;2.2;3.4;0.5;0.3;0.5;0.7;1.5;5
2;Jaylen Adams;adamsja01;PG;24;MIL;7;0;2.6;0.1;1.1;0.125;0;0.3;0;0.1;0.9;0.167;0.125;0;0;;0;0.4;0.4;0.3;0;0;0;0.1;0.3
3;Steven Adams;adamsst01;C;27;NOP;58;58;27.7;3.3;5.3;0.614;0;0.1;0;3.3;5.3;0.62;0.614;1;2.3;0.444;3.7;5.2;8.9;1.9;0.9;0.7;1.3;1.9;7.6
4;Bam Adebayo;adebaba01;C;23;MIA;64;64;33.5;7.1;12.5;0.57;0;0.1;0.25;7.1;12.4;0.573;0.571;4.4;5.5;0.799;2.2;6.7;9;5.4;1.2;1;2.6;2.3;18.7
5;LaMarcus Aldridge;aldrila01;C;35;TOT;26;23;25.9;5.4;11.4;0.473;1.2;3.1;0.388;4.2;8.3;0.505;0.525;1.6;1.8;0.872;0.7;3.8;4.5;1.9;0.4;1.1;1;1.8;13.5
6;Ty-Shon Alexander;alexaty01;SG;22;PHO;15;0;3.1;0.2;0.8;0.25;0.1;0.6;0.222;0.1;0.2;0.333;0.333;0.1;0.1;0.5;0.1;0.5;0.7;0.4;0;0.1;0.2;0.1;0.6
7;Nickeil Alexander-Walker;alexani01;SG;22;NOP;46;13;21.9;4.2;10;0.419;1.7;4.8;0.347;2.5;5.2;0.485;0.502;1;1.4;0.727;0.3;2.8;3.1;2.2;1;0.5;1.5;1.9;11
8;Grayson Allen;allengr01;SG;25;MEM;50;38;25.2;3.5;8.3;0.418;2.1;5.5;0.391;1.3;2.8;0.471;0.547;1.6;1.8;0.868;0.4;2.8;3.2;2.2;0.9;0.2;1;1.4;10.6
9;Jarrett Allen;allenja01;C;22;TOT;63;45;29.6;4.7;7.7;0.618;0.1;0.3;0.316;4.6;7.3;0.631;0.624;3.2;4.6;0.703;3.1;6.9;10;1.7;0.5;1.4;1.6;1.5;12.8
10;Al-Farouq Aminu;aminual01;PF;30;TOT;23;14;18.9;1.7;4.3;0.384;0.3;1.6;0.216;1.3;2.7;0.484;0.424;0.8;1;0.818;1;3.8;4.8;1.3;0.8;0.4;1.2;1.3;4.4
11;Kyle Anderson;anderky01;PF;27;MEM;69;69;27.3;4.5;9.5;0.468;1.4;3.8;0.36;3.1;5.8;0.539;0.54;2.1;2.7;0.783;0.8;5;5.7;3.6;1.2;0.8;1.2;1.7;12.4
12;Giannis Antetokounmpo;antetgi01;PF;26;MIL;61;61;33;10.3;18;0.569;1.1;3.6;0.303;9.2;14.4;0.636;0.6;6.5;9.5;0.685;1.6;9.4;11;5.9;1.2;1.2;3.4;2.8;28.1
13;Kostas Antetokounmpo;antetko01;PF;23;LAL;15;0;3.7;0.2;0.7;0.3;0;0;;0.2;0.7;0.3;0.3;0.4;0.9;0.462;0.3;1;1.3;0.1;0.1;0.3;0.7;0.5;0.8
14;Thanasis Antetokounmpo;antetth01;SF;28;MIL;57;3;9.7;1.2;2.4;0.489;0.1;0.5;0.241;1.1;1.9;0.556;0.515;0.4;0.9;0.51;0.9;1.2;2.2;0.8;0.4;0.2;0.8;1.3;2.9
15;Carmelo Anthony;anthoca01;PF;36;POR;69;3;24.5;4.7;11.3;0.421;1.9;4.7;0.409;2.8;6.6;0.429;0.506;2;2.2;0.89;0.5;2.6;3.1;1.5;0.7;0.6;0.9;2.1;13.4
16;Cole Anthony;anthoco01;PG;20;ORL;47;34;27.1;4.7;11.7;0.397;1.2;3.7;0.337;3.4;8.1;0.424;0.449;2.3;2.8;0.832;0.8;3.9;4.7;4.1;0.6;0.4;2.3;2.1;12.9
17;OG Anunoby;anunoog01;SF;23;TOR;43;43;33.3;5.8;12.1;0.48;2.4;6.1;0.398;3.4;6;0.562;0.58;1.9;2.4;0.784;1.3;4.3;5.5;2.2;1.5;0.7;1.7;2.7;15.9
18;Ryan Arcidiacono;arcidry01;PG;26;CHI;44;0;10.2;1.1;2.7;0.419;0.6;1.5;0.373;0.5;1.1;0.48;0.526;0.3;0.5;0.65;0.1;1.4;1.5;1.3;0.2;0;0.2;1.1;3.1
19;Trevor Ariza;arizatr01;SF;35;MIA;30;27;28;3.3;8;0.411;1.7;4.8;0.35;1.6;3.3;0.5;0.515;1.1;1.5;0.773;0.9;3.9;4.8;1.8;1;0.6;0.7;1.8;9.4
20;D.J. Augustin;augusdj01;PG;33;TOT;57;12;19.8;2.4;6;0.394;1.5;3.8;0.382;0.9;2.2;0.413;0.515;1.5;1.6;0.904;0.4;1.3;1.6;3.3;0.5;0;1.1;1;7.7
21;Deni Avdija;avdijde01;SF;20;WAS;54;32;23.3;2.4;5.8;0.417;1;3.1;0.315;1.4;2.7;0.535;0.502;0.5;0.8;0.644;0.4;4.4;4.9;1.2;0.6;0.3;0.6;2.6;6.3
22;Deandre Ayton;aytonde01;C;22;PHO;69;69;30.7;6.2;10;0.626;0.1;0.3;0.2;6.2;9.7;0.639;0.629;1.9;2.5;0.769;3.3;7.2;10.5;1.4;0.6;1.2;1.5;2.8;14.4
23;Udoka Azubuike;azubuud01;C;21;UTA;15;0;3.8;0.3;0.6;0.444;0;0;;0.3;0.6;0.444;0.444;0.5;0.7;0.8;0.3;0.6;0.9;0;0.1;0.3;0.2;0.6;1.1
24;Dwayne Bacon;bacondw01;SG;25;ORL;72;50;25.7;4.1;10.1;0.402;0.8;2.9;0.285;3.2;7.2;0.449;0.443;2;2.4;0.824;0.4;2.7;3.1;1.3;0.6;0.1;0.6;1.4;10.9
25;Marvin Bagley III;baglema01;PF;21;SAC;43;42;25.9;5.7;11.4;0.504;0.9;2.5;0.343;4.9;8.9;0.55;0.542;1.8;3.1;0.575;2.5;4.9;7.4;1;0.5;0.5;1.4;2.3;14.1
26;LaMelo Ball;ballla01;PG;19;CHO;51;31;28.8;5.7;13.2;0.436;1.8;5.1;0.352;3.9;8.1;0.489;0.504;2.5;3.2;0.758;1.2;4.7;5.9;6.1;1.6;0.4;2.8;2.7;15.7
27;Lonzo Ball;balllo01;PG;23;NOP;55;55;31.8;5.3;12.7;0.414;3.1;8.3;0.378;2.1;4.5;0.482;0.537;0.9;1.2;0.781;0.6;4.2;4.8;5.7;1.5;0.6;2.2;1.9;14.6
28;Mo Bamba;bambamo01;C;22;ORL;46;5;15.8;3.1;6.5;0.472;0.8;2.6;0.322;2.3;4;0.568;0.535;1;1.4;0.682;1.7;4.1;5.8;0.8;0.3;1.3;0.8;1.9;8
29;Desmond Bane;banede01;SG;22;MEM;68;17;22.3;3.4;7.3;0.469;1.7;4;0.432;1.7;3.4;0.513;0.586;0.6;0.7;0.816;0.5;2.6;3.1;1.7;0.6;0.2;0.9;1.8;9.2
30;Harrison Barnes;barneha02;PF;28;SAC;58;58;36.2;5.5;11.1;0.497;1.7;4.4;0.391;3.8;6.7;0.567;0.575;3.4;4.1;0.83;1.1;5.5;6.6;3.5;0.7;0.2;1.6;1.3;16.1
31;RJ Barrett;barrerj01;SG;20;NYK;72;72;34.9;6.5;14.7;0.441;1.7;4.3;0.401;4.8;10.4;0.457;0.499;2.9;3.8;0.746;0.9;4.8;5.8;3;0.7;0.3;1.9;2.6;17.6
32;Will Barton;bartowi01;SF;30;DEN;56;52;31;4.6;10.9;0.426;1.8;4.6;0.381;2.9;6.3;0.459;0.507;1.7;2.2;0.785;0.7;3.3;4;3.2;0.9;0.4;1.7;1.7;12.7
33;Keita Bates-Diop;bateske01;SF;25;SAS;30;0;8.2;1;2.2;0.448;0.2;0.6;0.294;0.8;1.7;0.5;0.485;0.5;0.7;0.667;0.3;1.3;1.6;0.4;0.4;0.2;0.2;0.4;2.6
34;Nicolas Batum;batumni01;SF;32;LAC;67;38;27.4;2.9;6.1;0.464;1.6;4.1;0.404;1.2;2.1;0.579;0.597;0.7;0.9;0.828;0.7;4;4.7;2.2;1;0.6;0.8;1.5;8.1
35;Aron Baynes;baynear01;C;34;TOR;53;31;18.5;2.5;5.7;0.441;0.5;1.9;0.262;2;3.8;0.532;0.485;0.5;0.8;0.707;1.6;3.5;5.2;0.9;0.3;0.4;0.9;2.2;6.1
36;Kent Bazemore;bazemke01;SF;31;GSW;67;18;19.9;2.6;5.9;0.449;1.1;2.7;0.408;1.5;3.1;0.486;0.545;0.8;1.2;0.692;0.4;3;3.4;1.6;1;0.5;1.2;2.4;7.2
37;Darius Bazley;bazleda01;PF;20;OKC;55;55;31.2;5;12.5;0.396;1.5;5.2;0.29;3.5;7.3;0.47;0.456;2.3;3.2;0.702;0.9;6.3;7.2;1.8;0.5;0.5;2.2;1.1;13.7
38;Bradley Beal;bealbr01;SG;27;WAS;60;60;35.8;11.2;23;0.485;2.2;6.2;0.349;9;16.8;0.535;0.532;6.8;7.7;0.889;1.2;3.5;4.7;4.4;1.2;0.4;3.1;2.3;31.3
39;Malik Beasley;beaslma01;SG;24;MIN;37;36;32.8;7.1;16.2;0.44;3.5;8.7;0.399;3.7;7.5;0.487;0.547;1.8;2.2;0.85;0.8;3.6;4.4;2.4;0.8;0.2;1.6;1.7;19.6
40;Jordan Bell;belljo01;C;26;TOT;6;1;13.7;1.2;3.7;0.318;0;0.3;0;1.2;3.3;0.35;0.318;0.2;0.3;0.5;1.2;2.8;4;1.2;0.5;0.8;0.7;1.2;2.5
41;DeAndre' Bembry;bembrde01;SF;26;TOR;51;12;19.1;2.3;4.5;0.513;0.3;1;0.264;2;3.4;0.589;0.544;0.9;1.3;0.682;0.6;2.2;2.9;2.1;1;0.4;1.4;1.7;5.7
42;Dāvis Bertāns;bertada01;PF;28;WAS;57;7;25.7;3.4;8.4;0.404;3;7.5;0.395;0.4;0.9;0.48;0.581;1.8;2;0.87;0.3;2.6;2.9;0.9;0.6;0.2;0.6;2.4;11.5
43;Patrick Beverley;beverpa01;PG;32;LAC;37;34;22.5;2.5;5.9;0.423;1.5;3.8;0.397;1;2.1;0.468;0.55;1;1.2;0.8;0.8;2.4;3.2;2.1;0.8;0.8;0.9;2.9;7.5
44;Saddiq Bey;beysa01;SF;21;DET;70;53;27.3;4;9.9;0.404;2.5;6.6;0.38;1.5;3.3;0.45;0.53;1.8;2.1;0.844;0.6;3.9;4.5;1.4;0.7;0.2;0.9;1.6;12.2
45;Tyler Bey;beyty01;SF;22;DAL;18;0;3.9;0.4;1.2;0.318;0.1;0.2;0.25;0.3;1;0.333;0.341;0.2;0.3;0.6;0.4;0.6;1.1;0.2;0;0.1;0.2;0.3;1
46;Khem Birch;birchkh01;C;28;TOT;67;22;22.8;2.8;5.7;0.497;0.2;0.8;0.25;2.6;4.9;0.537;0.514;1.4;1.9;0.705;2.6;3.2;5.8;1.3;0.7;0.7;0.7;1.7;7.2
47;Goga Bitadze;bitadgo01;C;21;IND;45;3;12.5;1.8;4.3;0.428;0.4;1.8;0.253;1.4;2.6;0.548;0.479;1;1.4;0.738;1.3;2;3.3;0.8;0.2;1.3;0.4;2.1;5.1
48;Bismack Biyombo;biyombi01;C;28;CHO;66;36;20.4;2.2;3.7;0.587;0;0;0;2.2;3.7;0.589;0.587;0.7;1.6;0.448;2.1;3.2;5.3;1.2;0.3;1.1;1.1;2.1;5
49;Nemanja Bjelica;bjeline01;PF;32;TOT;37;3;16.1;2.4;5.3;0.454;0.7;2.3;0.318;1.7;3;0.559;0.523;1;1.4;0.725;0.8;2.6;3.4;1.9;0.4;0.1;0.9;1.8;6.5
50;Eric Bledsoe;bledser01;SG;31;NOP;71;70;29.7;4.3;10.3;0.421;1.7;5;0.341;2.6;5.3;0.496;0.503;1.9;2.7;0.687;0.4;3;3.4;3.8;0.8;0.3;1.6;1.6;12.2
51;Keljin Blevins;blevike01;SF;25;POR;17;0;4.4;0.3;1.2;0.25;0.1;0.5;0.25;0.2;0.7;0.25;0.3;0;0;;0.2;0.4;0.6;0.2;0.1;0;0.3;0.5;0.7
52;Bogdan Bogdanović;bogdabo01;SG;28;ATL;44;27;29.7;6.1;12.8;0.473;3.3;7.6;0.438;2.8;5.3;0.522;0.602;0.9;1;0.909;0.5;3.2;3.6;3.3;1.1;0.3;1.2;2.3;16.4
53;Bojan Bogdanović;bogdabo02;SF;31;UTA;72;72;30.8;5.6;12.8;0.439;2.5;6.4;0.39;3.1;6.4;0.487;0.536;3.2;3.7;0.879;0.6;3.3;3.9;1.9;0.6;0.1;1.8;1.6;17
54;Bol Bol;bolbo01;PF;21;DEN;32;2;5;0.8;1.8;0.431;0.3;0.8;0.375;0.5;1.1;0.471;0.509;0.3;0.5;0.667;0;0.8;0.8;0.2;0.1;0.3;0.4;0.4;2.2
55;Marques Bolden;boldema01;C;22;CLE;6;0;4.8;0.2;0.5;0.333;0;0;;0.2;0.5;0.333;0.333;0.8;1.3;0.625;0.5;0.5;1;0;0.3;0.3;0.3;0;1.2
56;Jordan Bone;bonejo01;PG;23;ORL;14;0;14;1.6;3.9;0.426;0.7;2.3;0.313;0.9;1.6;0.591;0.519;0;0;;0.3;1.4;1.7;1.3;0.1;0;0.2;0.8;4
57;Isaac Bonga;bongais01;SF;21;WAS;40;8;10.8;0.8;2;0.37;0.3;1.2;0.277;0.4;0.9;0.5;0.451;0.1;0.2;0.625;0.5;1.2;1.7;0.6;0.3;0.2;0.6;1.6;2
58;Devin Booker;bookede01;SG;24;PHO;67;67;33.9;9.3;19.2;0.484;1.9;5.5;0.34;7.4;13.7;0.543;0.533;5.1;5.9;0.867;0.5;3.7;4.2;4.3;0.8;0.2;3.1;2.7;25.6
59;Chris Boucher;bouchch01;C;28;TOR;60;14;24.2;4.8;9.3;0.514;1.5;3.9;0.383;3.3;5.4;0.609;0.595;2.5;3.2;0.788;2;4.8;6.7;1.1;0.6;1.9;0.8;2.8;13.6
60;Brian Bowen;bowenbr02;SF;22;IND;6;0;2.5;0.2;0.7;0.25;0;0.2;0;0.2;0.5;0.333;0.25;0.2;0.2;1;0;0.5;0.5;0;0;0;0;0.2;0.5
61;Avery Bradley;bradlav01;SG;30;TOT;27;6;22.3;2.4;6.3;0.374;1.2;3.7;0.327;1.1;2.6;0.443;0.471;0.4;0.6;0.8;0.3;1.8;2.1;1.7;0.8;0.1;1;2;6.4
62;Tony Bradley;bradlto01;C;23;TOT;42;8;16.3;3.1;4.7;0.665;0;0.1;0;3.1;4.6;0.675;0.665;0.9;1.3;0.691;2;3.7;5.7;0.9;0.4;0.7;0.8;1.5;7.1
63;Jarrell Brantley;brantja01;PF;24;UTA;28;0;4.9;0.9;1.9;0.481;0.4;1;0.429;0.5;0.9;0.542;0.596;0.1;0.1;1;0.3;0.6;1;0.5;0.3;0.1;0.3;0.6;2.3
64;Ignas Brazdeikis;brazdig01;SF;22;TOT;13;0;19.2;2.7;6.4;0.422;0.8;2.2;0.393;1.8;4.2;0.436;0.488;0.8;1.1;0.714;0.8;2.6;3.5;1.3;0.3;0.2;0.9;1.7;7
65;Mikal Bridges;bridgmi01;SF;24;PHO;72;72;32.6;5;9.3;0.543;1.9;4.4;0.425;3.2;4.9;0.647;0.643;1.5;1.8;0.84;1.1;3.2;4.3;2.1;1.1;0.9;0.8;1.6;13.5
66;Miles Bridges;bridgmi02;PF;22;CHO;66;19;29.3;4.7;9.4;0.503;1.8;4.4;0.4;3;5;0.593;0.596;1.5;1.7;0.867;1.2;4.8;6;2.2;0.7;0.8;1.6;2.2;12.7
67;Amida Brimah;brimaam01;C;26;IND;5;0;5.8;1;1.6;0.625;0;0;;1;1.6;0.625;0.625;0.6;0.6;1;0.4;1.2;1.6;0.2;0;1;0.8;0.8;2.6
68;Oshae Brissett;brissos01;SF;22;IND;21;16;24.7;3.5;7.2;0.483;1.6;3.7;0.423;1.9;3.5;0.548;0.593;2.4;3.1;0.769;1.4;4.1;5.5;0.9;0.9;1;0.5;1.5;10.9
69;Malcolm Brogdon;brogdma01;PG;28;IND;56;56;34.5;7.9;17.5;0.453;2.6;6.7;0.388;5.3;10.8;0.493;0.527;2.7;3.2;0.864;1;4.2;5.3;5.9;0.9;0.3;2.1;2;21.2
70;Armoni Brooks;brookar01;SG;22;HOU;20;5;26;3.9;9.6;0.406;3;7.9;0.382;0.9;1.8;0.514;0.563;0.4;0.6;0.583;0.5;2.9;3.4;1.5;0.6;0.3;1.1;1.7;11.2
71;Dillon Brooks;brookdi01;SF;25;MEM;67;67;29.8;6.4;15.4;0.419;1.9;5.6;0.344;4.5;9.8;0.461;0.481;2.4;2.9;0.815;0.8;2.1;2.9;2.3;1.2;0.4;1.8;3.5;17.2
72;Bruce Brown;brownbr01;PG;24;BRK;65;37;22.3;3.6;6.5;0.556;0.3;0.9;0.288;3.4;5.6;0.599;0.576;1.3;1.8;0.735;1.7;3.7;5.4;1.6;0.9;0.4;0.8;2.2;8.8
73;Charlie Brown;brownch02;SG;23;OKC;9;1;16.9;1.4;4.8;0.302;0.6;2.3;0.238;0.9;2.4;0.364;0.36;1;1.1;0.9;0.3;1.6;1.9;1;0.4;0.2;0.7;2.1;4.4
74;Jaylen Brown;brownja02;SG;24;BOS;58;58;34.5;9.3;19.2;0.484;2.8;7.1;0.397;6.5;12.1;0.536;0.558;3.3;4.3;0.764;1.2;4.8;6;3.4;1.2;0.6;2.7;2.9;24.7
75;Moses Brown;brownmo01;C;21;OKC;43;32;21.4;3.4;6.2;0.545;0;0;;3.4;6.2;0.545;0.545;1.8;2.9;0.619;3.6;5.3;8.9;0.2;0.7;1.1;1;2.2;8.6
76;Sterling Brown;brownst02;SG;25;HOU;51;14;24.1;2.9;6.6;0.448;1.8;4.2;0.423;1.2;2.4;0.492;0.584;0.5;0.6;0.806;0.7;3.6;4.4;1.4;0.7;0.2;0.8;1.9;8.2
77;Troy Brown Jr.;browntr01;SF;21;TOT;34;0;15.4;1.8;4.2;0.431;0.6;2.1;0.314;1.2;2.2;0.541;0.507;0.4;0.6;0.714;0.6;2.5;3.1;0.9;0.3;0.2;0.6;1.4;4.7
78;Jalen Brunson;brunsja01;PG;24;DAL;68;12;25;4.8;9.2;0.523;1.2;2.9;0.405;3.6;6.3;0.578;0.588;1.8;2.2;0.795;0.4;3;3.4;3.5;0.5;0;1.2;1.6;12.6
79;Elijah Bryant;bryanel01;SG;25;MIL;1;0;32;6;13;0.462;1;5;0.2;5;8;0.625;0.5;3;3;1;2;4;6;3;0;1;4;4;16
80;Thomas Bryant;bryanth01;C;23;WAS;10;10;27.1;5.9;9.1;0.648;0.9;2.1;0.429;5;7;0.714;0.698;1.6;2.4;0.667;1.8;4.3;6.1;1.5;0.4;0.8;1.1;3.1;14.3
81;Reggie Bullock;bullore01;SF;29;NYK;65;64;30;3.8;8.6;0.442;2.5;6.1;0.41;1.3;2.5;0.521;0.587;0.8;0.8;0.909;0.2;3.2;3.4;1.5;0.8;0.2;0.7;2.2;10.9
82;Trey Burke;burketr01;PG;28;DAL;62;1;14.7;2.4;5.7;0.428;0.9;2.6;0.354;1.5;3;0.492;0.51;0.8;0.9;0.895;0.2;0.7;0.9;1.3;0.6;0.1;0.5;1;6.6
83;Alec Burks;burksal01;SG;29;NYK;49;5;25.6;4.3;10.2;0.42;2.1;5;0.415;2.2;5.2;0.425;0.522;2.1;2.4;0.856;0.4;4.2;4.6;2.2;0.6;0.3;1;2.1;12.7
84;Jimmy Butler;butleji01;SF;31;MIA;52;52;33.6;7;14.2;0.497;0.5;2;0.245;6.6;12.2;0.538;0.514;6.9;8;0.863;1.8;5.1;6.9;7.1;2.1;0.3;2.1;1.4;21.5
85;Bruno Caboclo;cabocbr01;PF;25;HOU;6;0;6;1.3;2.8;0.471;0;0.8;0;1.3;2;0.667;0.471;0.2;0.3;0.5;0.5;1.8;2.3;0.2;0;0.3;0.7;1;2.8
86;Devontae Cacok;cacokde01;PF;24;LAL;20;1;4.9;0.9;1.5;0.586;0;0;;0.9;1.5;0.586;0.586;0.3;0.6;0.455;0.6;1;1.6;0.1;0.3;0.2;0.3;0.4;2
87;Kentavious Caldwell-Pope;caldwke01;SG;27;LAL;67;67;28.4;3.3;7.6;0.431;1.8;4.4;0.41;1.5;3.2;0.46;0.549;1.4;1.7;0.866;0.4;2.3;2.7;1.9;0.9;0.4;1;1.7;9.7
88;Facundo Campazzo;campafa01;PG;29;DEN;65;19;21.9;1.8;4.8;0.381;1.2;3.3;0.352;0.7;1.5;0.444;0.502;1.2;1.4;0.879;0.3;1.7;2.1;3.6;1.2;0.2;1.1;2;6.1
89;Vlatko Čančar;cancavl01;PF;23;DEN;41;1;6.9;0.8;1.8;0.458;0.2;0.8;0.273;0.6;1;0.615;0.521;0.2;0.3;0.769;0.3;1;1.2;0.3;0.3;0;0.3;0.4;2.1
90;Devin Cannady;cannade01;PG;24;ORL;8;0;9.3;1.4;3.5;0.393;0.8;2;0.375;0.6;1.5;0.417;0.5;0.8;0.9;0.857;0;0.6;0.6;0.1;0.6;0.1;0.3;1.1;4.3
91;Clint Capela;capelca01;C;26;ATL;63;63;30.1;6.6;11;0.594;0;0;;6.6;11;0.594;0.594;2.1;3.6;0.573;4.7;9.6;14.3;0.8;0.7;2;1.2;2.3;15.2
92;Vernon Carey Jr.;careyve01;C;19;CHO;19;4;6.1;0.9;1.9;0.5;0.1;0.4;0.143;0.9;1.5;0.586;0.514;0.5;0.6;0.818;0.3;1.1;1.4;0.1;0.1;0.3;0.3;0.7;2.4
93;Jevon Carter;carteje01;PG;25;PHO;60;1;12;1.6;3.7;0.422;0.9;2.5;0.371;0.6;1.2;0.528;0.547;0.1;0.1;0.571;0.3;1.3;1.5;1.2;0.5;0.2;0.3;0.9;4.1
94;Wendell Carter Jr.;cartewe01;C;21;TOT;54;44;25.5;4.3;8.5;0.503;0.3;0.9;0.294;4;7.5;0.53;0.52;2.4;3.3;0.732;2.4;5.8;8.2;1.9;0.6;0.8;1.4;2.7;11.2
95;Michael Carter-Williams;cartemi01;SG;29;ORL;31;25;25.8;3.4;8.7;0.389;0.5;2;0.246;2.9;6.7;0.431;0.417;1.6;2.6;0.613;1.3;3.2;4.5;4.2;0.8;0.5;2.2;2.6;8.8
96;Alex Caruso;carusal01;PG;26;LAL;58;6;21;2.3;5.3;0.436;0.9;2.4;0.401;1.3;2.9;0.464;0.526;0.8;1.3;0.645;0.5;2.4;2.9;2.8;1.1;0.3;1.3;1.9;6.4
97;Willie Cauley-Stein;caulewi01;C;27;DAL;53;16;17.1;2.2;3.4;0.632;0;0.2;0.091;2.2;3.2;0.667;0.635;0.9;1.5;0.628;1.2;3.2;4.5;0.7;0.4;0.8;0.5;2.4;5.3
98;Chris Chiozza;chiozch01;PG;25;BRK;22;1;10.5;1.4;4;0.352;0.6;1.9;0.31;0.8;2.1;0.391;0.426;0.6;0.8;0.765;0.1;1;1.1;3;0.3;0.3;0.7;0.9;4
99;Marquese Chriss;chrisma01;PF;23;GSW;2;0;13.5;2.5;7;0.357;0.5;2.5;0.2;2;4.5;0.444;0.393;1;2;0.5;1.5;5;6.5;1;0;1;1;1.5;6.5
100;Gary Clark;clarkga01;PF-SF;26;TOT;39;11;16.8;1;3.4;0.303;0.8;2.8;0.287;0.2;0.6;0.375;0.42;0.2;0.3;0.8;0.8;2.1;2.9;0.8;0.3;0.2;0.4;0.9;3.1
101;Brandon Clarke;clarkbr01;PF;24;MEM;59;16;24;4.3;8.4;0.517;0.3;1.3;0.26;4;7.1;0.565;0.537;1.3;1.9;0.69;1.6;3.9;5.6;1.6;1;0.9;0.6;1.4;10.3
102;Jordan Clarkson;clarkjo01;SG;28;UTA;68;1;26.7;6.7;15.8;0.425;3.1;8.8;0.347;3.7;7;0.523;0.522;1.9;2.1;0.896;0.7;3.3;4;2.5;0.9;0.1;1.7;1.6;18.4
103;Nicolas Claxton;claxtni01;C;21;BRK;32;1;18.6;2.8;4.5;0.621;0;0.2;0.2;2.8;4.4;0.636;0.624;1;2;0.484;1.3;3.8;5.2;0.9;0.7;1.3;0.6;2.1;6.6
104;Amir Coffey;coffeam01;SG;23;LAC;44;1;9;1;2.3;0.437;0.5;1.3;0.411;0.5;1.1;0.468;0.549;0.6;0.9;0.711;0.2;0.8;1;0.5;0.2;0;0.3;0.7;3.2
105;John Collins;collijo01;PF;23;ATL;63;63;29.3;6.8;12.2;0.556;1.3;3.3;0.399;5.5;8.9;0.615;0.61;2.7;3.2;0.833;1.9;5.5;7.4;1.2;0.5;1;1.3;3.1;17.6
106;Mike Conley;conlemi01;PG;33;UTA;51;51;29.4;5.6;12.5;0.444;2.7;6.6;0.412;2.9;6;0.479;0.552;2.4;2.8;0.852;0.7;2.8;3.5;6;1.4;0.2;1.9;1.9;16.2
107;Pat Connaughton;connapa01;SG;28;MIL;69;4;22.8;2.4;5.6;0.434;1.5;3.9;0.371;1;1.7;0.583;0.565;0.4;0.6;0.775;0.9;3.9;4.8;1.2;0.7;0.3;0.5;1.4;6.8
